Restaurent,Period,Avg. no of customers per day,Running time,chicken Grill,Chicken Curry, Chicken Korai,Beef Curry,Beef Kebab,Beef Korai,Mutton Curry,Mutton Kebab,Murron Korai,Fish Curry,Fish Fry,Vegetable Regular,"Vegetable soup,",Chicken soup,Thai soup,PARATA,NAAN,BIRIYANI Chicken,BIRIYANI Mutton,CHINESE,FAST FOODS,SALAD,FRUIT JUICE,TEA,COFFEE,SOFT DRINKS
Restaurent 1,Before covid19,800,6AM 12AM,120,30,0,30,0,0,15,0,0,60,0,30,0,0,0,300,200,100,20,0,0,0,0,700,0,0
,after covid19,500,7AM 11PM,80,22,0,24,0,0,6,0,0,35,0,20,0,0,0,170,125,50,10,0,0,0,0,450,0,0
Restaurent 2,Before covid19,100,6 AM-12AM,35,22,12,9,0,10,0,0,0,50,0,60,15,0,0,70,50,75,25,25,0,0,20,90,25,65
,after covid19,70,12PM-12AM,15,8,9,5,0,0,0,0,0,30,0,28,7,0,0,50,35,25,0,0,0,0,7,40,11,27
Restaurent 3,Before covid19,100,6AM-12AM,12O,27,10,15,6,10,6,8,10,100,0,0,2,80,0,100,90,120,0,0,0,0,10,100,10,44
,after covid19,60,7AM-11PM,50,12,2,6,2,2,3,2,2,50,0,0,0,25,0,35,30,30,0,0,0,0,3,120,15,24
Restaurent 4,Before covid19,2000,5AM-12PM,720,210,0,210,0,60,45,0,0,500,0,600,0,0,0,750,750,750,70,80,0,0,120,300,0,250
,after covid19,1800,5AM-12PM,420,150,500,150,0,40,45,0,0,500,0,600,0,0,0,750,750,500,50,80,0,0,100,300,0,200
Restaurent 5,Before covid19,1200,5AM-12PM,550,175,111,175,0,45,35,0,0,470,0,500,0,0,0,620,300,250,65,0,0,0,130,430,50,140
,after covid19,750,5AM-12PM,320,115,75,110,0,25,22,0,0,378,0,350,0,0,0,370,150,180,40,0,0,0,75,225,25,95
Restaurent 6,Before covid19,700,5AM-12PM,220,120,72,60,0,37,25,15,0,250,0,220,0,25,0,110,130,125,25,0,0,0,85,370,0,25
,after covid19,450,5AM-12PM,130,95,39,43,0,21,10,7,0,174,0,130,0,10,0,65,45,86,10,0,0,0,55,330,0,10
Restaurent 7,Before covid19,900,6AM 12AM,220,140,56,55,0,25,27,38,0,230,0,229,0,23,0,140,166,107,10,0,0,0,90,520,0,15
,after covid19,620,7AM 11PM,150,95,34,37,0,20,15,21,0,180,0,195,0,13,0,76,91,64,5,0,0,0,61,500,0,10
Restaurent 8,Before covid19,1250,6AM 12AM,320,210,200,120,50,32,50,67,0,310,0,670,50,10,80,322,200,120,56,0,0,0,170,523,50,34
,after covid19,1080,7AM 11PM,240,130,134,100,30,12,29,36,0,120,0,540,23,6,54,167,132,56,20,0,0,0,130,430,34,23
Restaurent 9,Before covid19,700,6AM 12AM,210,132,67,89,43,34,45,25,10,120,0,350,67,0,40,120,80,130,67,0,0,0,230,401,100,43
,after covid19,520,7AM 11PM,156,89,50,76,23,21,33,20,7,78,0,234,56,0,20,78,56,45,23,0,0,0,154,390,34,23
Restaurent 10,Before covid19,920,6AM 12AM,320,214,176,179,45,54,67,29,0,140,0,467,120,0,50,230,159,100,50,0,0,0,201,345,56,24
,after covid19,680,7AM 11PM,278,78,120,134,31,34,55,15,0,80,0,342,98,0,30,180,120,30,10,0,0,0,154,320,43,19
Restaurent 11,Before covid19,1200,6AM 12AM,420,273,367,198,0,55,77,31,0,210,0,780,140,0,100,389,260,110,60,0,0,0,178,378,67,60
,after covid19,850,7AM 11PM,258,150,167,140,0,33,45,23,0,152,0,500,87,0,87,230,189,56,30,0,0,0,143,363,34,32
Restaurent 12,Before covid19,500,6AM 12AM,120,56,72,100,34,12,34,25,0,56,0,120,0,0,0,80,70,40,30,0,,0,234,430,88,65
,after covid19,370,7AM 11PM,69,42,45,78,12,5,15,10,0,43,0,78,0,0,0,54,43,10,25,0,0,0,121,378,54,20
Restaurent 13,Before covid19,675,6 AM-12AM,230,109,89,134,23,31,67,27,0,54,0,190,0,0,0,89,60,34,50,0,0,0,189,501,45,56
,after covid19,500,7AM-11PM,176,79,65,110,12,12,34,19,0,24,0,124,0,0,0,65,54,10,23,0,0,0,123,320,24,43
Restaurent 14,Before covid19,1200,6 AM-12AM,450,245,310,243,65,45,51,23,0,323,0,678,230,0,120,400,230,120,80,0,0,0,154,760,67,98
,after covid19,800,7AM-11PM,279,174,134,202,23,21,33,11,0,125,0,545,167,0,70,230,179,39,50,0,0,0,98,680,44,45
Restaurent 15,Before covid19,1500,6 AM-12AM,489,240,170,310,76,0,105,40,0,340,0,790,310,0,130,430,218,130,120,0,0,0,154,820,120,120
,after covid19,1100,7AM-11PM,367,182,120,234,34,0,57,20,0,129,0,453,170,0,83,290,192,60,56,0,0,0,101,650,76,64
Restaurent 16,Before covid19,1300,6 AM-12AM,420,295,167,123,23,56,90,34,0,290,0,765,123,0,78,341,195,120,50,0,0,0,120,741,98,165
,after covid19,850,7AM-11PM,310,140,127,100,10,34,54,20,0,167,0,450,89,0,45,231,156,62,25,0,0,0,67,678,75,76
